CITY,DISTRICT,NEIGHBOURHOOD,AIR CONDITIONING,FURNISHED,CAR PARK,CENTRAL HEATING,GAS COMBI,UNDERFLOOR HEATING,UNDERFLOOR COOLING,REALTOR FEE,TOTAL FLOORS,COMPLETION DATE,SUBTYPE,PROPERTY SIZE,STOREYS,BEDROOM,BATHROOM,BALCONY,FLOOR,PRICE
Antalya,Muratpaşa,Kızılarık,1,0,1,0,1,0,0,%2,4,3 / 2022,Ground Floor,80.0,1,2,1,1,,112.0
Mersin,Yenişehir,Çiftlikköy,1,0,1,0,1,0,0,FREE,12,6 / 2024,Middle Floor,62.0,1,1,1,2,1,76.0
Muğla,Bodrum,Göltürkbükü,1,0,1,0,0,1,0,%2,2,9 / 2025,Detached Villa,207.0,3,4,4,1,,1400.0
İzmir,Konak,Halkapınar,1,0,0,0,0,1,1,FREE,35,6 / 2025,Middle Floor,165.0,1,3,2,1,3,457.0
İzmir,Konak,Halkapınar,1,0,0,0,0,1,1,FREE,35,6 / 2025,Middle Floor,313.0,1,4,2,1,23,1195.0
İzmir,Konak,Halkapınar,1,0,0,0,0,1,1,FREE,35,6 / 2025,Penthouse,586.0,1,5,5,3,31,3315.0
İstanbul,Beylikdüzü,Dereağzı,1,0,1,0,1,1,0,FREE,3,10 / 2022,Detached Villa,340.0,3,5,4,,,1120.0
İstanbul,Eyüpsultan,Akşemsettin,0,0,0,0,1,0,0,FREE,10,8 / 2024,Middle Floor,80.0,1,1,1,,,196.0
İstanbul,Eyüpsultan,Akşemsettin,0,0,0,0,1,0,0,FREE,10,8 / 2024,Middle Floor,122.0,1,2,2,1,,281.0
İstanbul,Eyüpsultan,Akşemsettin,0,0,0,0,1,0,0,FREE,10,8 / 2024,Middle Floor,157.0,1,3,2,1,,412.0
İstanbul,Eyüpsultan,Akşemsettin,0,0,0,0,1,0,0,FREE,10,8 / 2024,Duplex,214.0,1,5,2,2,,548.0
Ankara,Çankaya,Kavaklıdere,0,0,1,0,1,0,0,FREE,7,3 / 2024,Middle Floor,75.0,1,2,1,1,,142.0
Ankara,Çankaya,Kavaklıdere,0,0,1,0,1,0,0,FREE,7,3 / 2024,Duplex,180.0,2,4,2,2,,205.0
İstanbul,Eyüpsultan,Akşemsettin,0,0,0,0,1,0,0,FREE,4,6 / 2024,Ground Floor,129.0,1,3,1,,,302.0
İstanbul,Eyüpsultan,Akşemsettin,0,0,0,0,1,0,0,FREE,4,6 / 2024,Middle Floor,180.0,1,4,2,2,,400.0
İstanbul,Eyüpsultan,Göktürk Merkez,1,0,0,0,0,1,0,FREE,,12 / 2024,Middle Floor,123.0,1,2,2,1,,575.0
İstanbul,Eyüpsultan,Göktürk Merkez,1,0,0,0,0,1,0,FREE,,12 / 2024,Middle Floor,149.0,1,3,2,1,,699.0
İstanbul,Eyüpsultan,Göktürk Merkez,1,0,0,0,0,1,0,FREE,,12 / 2024,Duplex,230.0,2,4,2,2,,1220.0
Yalova,Çınarcık,Cumhuriyet,1,0,1,0,0,0,0,%2,3,9 / 2016,Duplex,160.0,2,2,1,1,3,93.5
İzmir,Gaziemir,Fatih,1,0,1,0,1,0,0,FREE,3,12 / 2023,Middle Floor,110.0,1,2,2,2,2,168.0
İzmir,Gaziemir,Fatih,1,0,1,0,1,0,0,FREE,3,12 / 2023,Middle Floor,136.0,1,3,2,2,2,235.0
İzmir,Gaziemir,Fatih,1,0,1,0,1,0,0,FREE,3,12 / 2023,Ground Floor,136.0,1,3,2,2,1,249.0
İzmir,Gaziemir,Fatih,1,0,1,0,1,0,0,FREE,3,12 / 2023,Middle Floor,159.0,1,4,2,2,2,354.0
Antalya,Serik,Belek,1,1,0,0,0,0,0,%2,3,2 / 2006,Ground Floor,120.0,1,3,2,2,,180.0
Trabzon,Ortahisar,Yalıncak,0,0,1,0,1,0,0,FREE,10,12 / 2022,Middle Floor,185.0,1,3,2,2,,110.0
Trabzon,Arsin,Yeşilyalı,1,0,1,0,1,0,1,FREE,8,9 / 2023,Middle Floor,150.0,1,3,2,1,,121.0
Antalya,Döşemealtı,Altınkale,1,0,0,0,1,1,0,FREE,3,7 / 2024,Townhouse,188.0,3,4,3,4,,439.0
Antalya,Döşemealtı,Altınkale,1,0,0,0,1,1,0,FREE,3,7 / 2024,Semi-Detached Villa,251.0,3,4,4,3,,566.0
Antalya,Alanya,Mahmutlar,1,0,1,0,0,0,0,%2,,Off Plan,Middle Floor,57.0,1,1,1,1,,135.0
Trabzon,Ortahisar,Üniversite,0,0,1,0,1,0,0,%2,6,12 / 2023,Middle Floor,58.0,1,1,1,1,,44.5
Trabzon,Ortahisar,Üniversite,0,0,1,0,1,0,0,%2,6,12 / 2023,Middle Floor,85.0,1,2,1,1,,74.5
Antalya,Serik,Belek,1,1,1,0,0,0,0,%2,3,6 / 2006,Middle Floor,100.0,1,2,2,2,1,165.0
Antalya,Serik,Kadriye,1,1,1,0,0,0,0,%2,3,6 / 2013,Semi-Detached Villa,150.0,2,3,2,3,2,235.0
Antalya,Muratpaşa,Ermenek,1,0,0,0,0,1,0,FREE,3,4 / 2024,Ground Floor,73.0,1,1,1,1,,200.0
Antalya,Muratpaşa,Ermenek,1,0,0,0,0,1,0,FREE,3,4 / 2024,Middle Floor,73.0,1,1,1,1,1,222.0
Antalya,Muratpaşa,Ermenek,1,0,0,0,0,1,0,FREE,3,4 / 2024,Middle Floor,93.0,1,2,1,1,1,267.0
Antalya,Muratpaşa,Ermenek,1,0,0,0,0,1,0,FREE,3,4 / 2024,Duplex,111.0,2,2,2,2,2,278.0
Antalya,Muratpaşa,Ermenek,1,0,0,0,0,1,0,FREE,3,4 / 2024,Duplex,145.0,2,3,2,2,2,355.0
Antalya,Aksu,Altıntaş,1,0,1,0,0,1,0,FREE,6,12 / 2024,Middle Floor,68.0,1,1,1,1,,154.0
Antalya,Aksu,Altıntaş,1,0,1,0,0,1,0,FREE,6,12 / 2024,Ground Floor,68.0,1,1,1,1,,177.0
Antalya,Aksu,Altıntaş,1,0,1,0,0,1,0,FREE,6,12 / 2024,Middle Floor,133.0,1,2,1,1,,252.0
Antalya,Aksu,Altıntaş,1,0,0,0,0,1,0,FREE,12,3 / 2025,Middle Floor,60.0,1,1,1,1,,139.0
Antalya,Aksu,Altıntaş,1,0,0,0,0,1,0,FREE,12,3 / 2025,Ground Floor,60.0,1,1,1,1,,158.0
Antalya,Aksu,Altıntaş,1,0,0,0,0,0,0,%2,5,12 / 2023,Middle Floor,74.0,1,1,1,1,,109.0
Muğla,Fethiye,Kargı,1,0,1,0,0,0,0,FREE,2,2 / 2023,Ground Floor,65.0,2,1,1,,1,300.0
Muğla,Fethiye,Kargı,1,0,1,0,0,0,0,FREE,2,2 / 2023,Ground Floor,75.0,2,2,2,1,1,350.0
İstanbul,Tuzla,İstasyon,1,0,1,0,0,1,0,FREE,7,9 / 2023,Middle Floor,124.0,1,2,1,1,,228.0
İstanbul,Tuzla,İstasyon,1,0,1,0,0,1,0,FREE,7,9 / 2023,Middle Floor,154.0,1,3,2,1,,392.0
İstanbul,Tuzla,İstasyon,1,0,1,0,0,1,0,FREE,7,9 / 2023,Duplex,238.0,2,4,2,1,,713.0
Antalya,Muratpaşa,Zerdalilik,1,0,1,0,1,0,0,FREE,4,6 / 2024,Ground Floor,55.0,1,1,1,1,,122.0
Antalya,Muratpaşa,Zerdalilik,1,0,1,0,1,0,0,FREE,4,6 / 2024,Ground Floor,110.0,2,3,2,1,,203.0
Antalya,Muratpaşa,Zerdalilik,1,0,1,0,1,0,0,FREE,4,6 / 2024,Penthouse,170.0,2,3,2,2,4,320.0
İstanbul,Başakşehir,Ziya Gökalp,1,0,0,0,0,0,0,FREE,,7 / 2024,Middle Floor,175.0,1,4,2,1,,667.0
Muğla,Milas,Güllük,1,0,1,0,0,0,0,%2,,7 / 2024,Detached Villa,148.0,2,3,2,1,,890.0
Muğla,Milas,Güllük,1,0,1,0,0,0,0,%2,,7 / 2024,Detached Villa,267.0,2,4,2,1,,1425.0
Muğla,Milas,Güllük,1,0,1,0,0,1,0,%2,2,6 / 2025,Semi-Detached Villa,149.0,2,3,3,,,557.0
Muğla,Milas,Güllük,1,0,1,0,0,1,0,%2,2,6 / 2025,Detached Villa,152.0,2,4,3,2,,742.0
Antalya,Konyaaltı,Sarısu,1,0,1,0,0,1,0,FREE,,5 / 2024,Penthouse,200.0,2,3,2,1,,420.0
Antalya,Konyaaltı,Çakırlar,1,0,0,0,1,1,0,FREE,,9 / 2024,Penthouse,60.0,1,1,1,1,5,131.0
Antalya,Konyaaltı,Sarısu,1,0,1,0,1,1,0,FREE,,8 / 2024,Middle Floor,62.0,1,1,1,1,,191.0
Antalya,Konyaaltı,Sarısu,1,0,1,0,1,1,0,FREE,,8 / 2024,Duplex,134.0,2,2,2,2,,280.0
Antalya,Kepez,Baraj,0,0,1,0,0,0,0,FREE,5,3 / 2024,Middle Floor,55.0,1,1,1,1,,135.0
Muğla,Bodrum,Konacık,1,0,1,0,0,0,0,%2,2,12 / 2024,Middle Floor,81.0,2,2,2,,2,354.0
Muğla,Bodrum,Konacık,1,0,1,0,0,0,0,%2,2,12 / 2024,Ground Floor,107.0,2,3,2,,1,467.0
Muğla,Bodrum,Torba,1,0,1,0,0,1,0,%2,2,10 / 2023,Detached Villa,177.0,2,3,3,2,,923.0
Antalya,Muratpaşa,Altındağ,1,1,0,0,1,0,0,%2,7,7 / 2022,Penthouse,190.0,2,3,2,2,7,260.0
İstanbul,Kadıköy,Feneryolu,0,1,1,1,1,0,0,%2,9,6 / 2001,Middle Floor,140.0,1,3,2,1,4,220.0
Antalya,Kaş,Kalkan,1,1,1,0,0,1,1,%2,3,6 / 2025,Detached Villa,515.0,3,5,5,2,1,1450.0
Trabzon,Ortahisar,Yalıncak,1,0,1,0,1,0,0,%2,11,3 / 2025,Middle Floor,35.0,1,Studio,1,1,,113.0
Trabzon,Ortahisar,Yalıncak,1,0,1,0,1,0,0,%2,11,3 / 2025,Middle Floor,65.0,1,1,1,1,,156.0
Trabzon,Ortahisar,Yalıncak,1,0,1,0,1,0,0,%2,11,3 / 2025,Ground Floor,85.0,1,2,1,1,,204.0
